# Smoke=2: Total hesitation points = 347
X,Y,Z
-216.080000,-1.570000,-2.230000
-142.500000,-1.620000,1.000000
-191.960000,-1.570000,-2.870000
-164.930000,-1.570000,-2.780000
-146.700000,-1.570000,-2.580000
-131.350000,-1.570000,-2.570000
-111.680000,-1.570000,-2.400000
-14.350000,-2.870000,-1.670000
21.710000,-2.650000,-0.670000
-42.500000,-1.620000,1.000000
-44.860000,-1.620000,0.020000
-45.030000,-1.620000,-0.120000
26.150000,-1.570000,-2.480000
29.340000,-2.870000,-1.150000
36.360000,-2.870000,-1.240000
38.170000,-2.870000,-1.340000
38.850000,-2.440000,-2.060000
32.480000,-1.570000,-2.460000
27.380000,-1.570000,-2.550000
-34.240000,-1.570000,-2.770000
-88.530000,-1.570000,-2.480000
